5,	21.420000,	4.900000,	4.940000,	4.920000,	4.850000
10,	34.120000,	10.000000,	9.980000,	10.330000,	9.940000
15,	43.070000,	14.940000,	14.940000,	15.170000,	14.870000
20,	50.250000,	20.060000,	20.020000,	20.140000,	20.110000
25,	56.400000,	25.190000,	25.100000,	24.730000,	24.910000
30,	61.700000,	30.230000,	29.750000,	29.970000,	30.540000
35,	66.420000,	34.870000,	34.570000,	34.320000,	35.430000
40,	70.600000,	39.910000,	38.800000,	39.610000,	40.220000
45,	74.280000,	44.380000,	44.400000,	45.090000,	45.080000
50,	77.620000,	49.270000,	49.240000,	49.270000,	49.450000
55,	80.810000,	54.210000,	54.240000,	54.030000,	54.180000
60,	83.700000,	58.880000,	59.160000,	59.180000,	58.880000
65,	86.310000,	63.870000,	64.170000,	64.280000,	64.280000
70,	88.720000,	68.980000,	68.520000,	69.690000,	69.390000
75,	90.960000,	73.990000,	73.890000,	74.310000,	73.950000
80,	92.960000,	78.640000,	79.320000,	78.550000,	78.600000
85,	94.780000,	83.670000,	84.010000,	83.630000,	83.860000
90,	96.440000,	88.620000,	88.910000,	89.150000,	89.000000
95,	97.860000,	94.110000,	94.070000,	94.080000,	93.880000
100,	99.000000,	99.000000,	99.000000,	99.000000,	99.000000
